#=====================================================
# File created:        Wed-30-Oct-2024-at-08-21-38PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        3.642698
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2404.3891  0.2797 
   00001    0.6856   -3692.1194  0.2831 
   00002    0.6024   -4542.8143  0.2859 
   00003    0.5764   -5152.4191  0.2886 
   00004    0.5612   -5581.9652  0.2949 
   00005    0.5360   -5956.0849  0.2989 
   00006    0.5188   -6233.5471  0.2984 
   00007    0.4996   -6445.3881  0.3036 
   00008    0.4836   -6629.1310  0.3040 
   00009    0.4896   -6778.0892  0.3028 
   00010    0.4872   -6957.4452  0.3074 
   00011    0.4652   -7056.6000  0.3212 
   00012    0.4740   -7168.7342  0.3148 
   00013    0.4680   -7233.1898  0.3182 
   00014    0.4536   -7336.2467  0.3117 
   00015    0.4384   -7354.5181  0.3218 
   00016    0.4424   -7409.2360  0.3210 
   00017    0.4532   -7436.4341  0.3266 
   00018    0.4676   -7458.8559  0.3286 
   00019    0.4576   -7530.0234  0.3306 
   00020    0.4516   -7576.0349  0.3438 
   00021    0.4384   -7630.8637  0.3504 
   00022    0.4376   -7658.4865  0.3542 
   00023    0.4324   -7722.4617  0.3551 
   00024    0.4508   -7752.6249  0.3591 
   00025    0.4480   -7766.8046  0.3548 
   00026    0.4308   -7758.9888  0.3521 
   00027    0.4448   -7785.0109  0.3504 
   00028    0.4672   -7781.0531  0.3460 
   00029    0.4264   -7838.0312  0.3454 
   00030    0.4272   -7885.9837  0.3569 
   00031    0.4504   -7871.8477  0.3537 
   00032    0.4496   -7921.3270  0.3563 
   00033    0.4532   -7952.6673  0.3594 
   00034    0.4188   -7929.1237  0.3614 
   00035    0.4168   -7938.5251  0.3582 
   00036    0.4336   -7997.2676  0.3617 
   00037    0.4428   -7942.3960  0.3655 
   00038    0.4300   -7916.5448  0.3657 
   00039    0.4392   -7924.0318  0.3688 
   00040    0.4512   -7917.0561  0.3781 
   00041    0.4412   -7950.5264  0.3774 
   00042    0.4364   -7947.6680  0.3793 
   00043    0.4392   -7989.8199  0.3846 
   00044    0.4216   -8015.3921  0.3864 
   00045    0.4360   -8037.7772  0.3867 
   00046    0.4196   -8095.4123  0.3884 
   00047    0.4128   -8098.2084  0.3845 
   00048    0.4244   -8081.1406  0.3868 
   00049    0.4120   -8108.0658  0.3920 
   00050    0.4148   -8120.0044  0.3943 
   00051    0.4256   -8142.9574  0.3949 
   00052    0.4092   -8148.9890  0.3945 
   00053    0.4124   -8131.1612  0.3955 
   00054    0.4160   -8111.5130  0.3931 
   00055    0.4328   -8138.3606  0.3975 
   00056    0.4224   -8123.1503  0.4007 
   00057    0.4116   -8102.2589  0.3995 
   00058    0.4240   -8138.0075  0.4044 
   00059    0.4112   -8135.4181  0.4043 
   00060    0.4356   -8201.7846  0.4113 
   00061    0.4268   -8191.1603  0.4060 
   00062    0.4228   -8239.3748  0.4088 
   00063    0.4304   -8226.0501  0.4150 
   00064    0.4396   -8163.6553  0.4133 
   00065    0.4020   -8175.2528  0.4123 
   00066    0.4348   -8166.0423  0.4082 
   00067    0.4252   -8186.1885  0.4134 
   00068    0.4232   -8162.3425  0.4082 
   00069    0.4240   -8139.2610  0.4080 
   00070    0.4184   -8147.2420  0.4045 
   00071    0.4368   -8149.4682  0.4068 
   00072    0.4172   -8185.6727  0.4038 
   00073    0.4384   -8219.2006  0.4054 
   00074    0.4352   -8203.5725  0.4069 
   00075    0.4240   -8213.8009  0.4059 
   00076    0.4304   -8223.8062  0.4066 
   00077    0.4360   -8215.7221  0.4044 
   00078    0.4112   -8192.7009  0.3972 
   00079    0.4180   -8194.5083  0.4044 
   00080    0.4316   -8210.7580  0.4055 
   00081    0.4240   -8218.5155  0.4045 
   00082    0.4164   -8180.4415  0.4005 
   00083    0.4228   -8212.5081  0.4012 
   00084    0.4200   -8212.1741  0.4039 
   00085    0.4092   -8202.3767  0.4052 
   00086    0.4308   -8240.7910  0.4033 
   00087    0.4240   -8238.3992  0.4069 
   00088    0.4248   -8265.6921  0.4074 
   00089    0.4180   -8242.6765  0.4000 
   00090    0.4100   -8224.5788  0.4011 
   00091    0.4192   -8174.1466  0.4009 
   00092    0.4136   -8207.8676  0.3958 
   00093    0.4272   -8162.1798  0.3945 
   00094    0.4232   -8210.3193  0.3924 
   00095    0.4248   -8215.1830  0.3861 
   00096    0.4324   -8174.7771  0.3817 
   00097    0.4268   -8193.6234  0.3802 
   00098    0.4168   -8186.3752  0.3746 
   00099    0.3960   -8200.7585  0.3846 
   00100    0.4104   -8237.5471  0.3867 
   00101    0.4256   -8204.4732  0.3871 
   00102    0.4276   -8255.3870  0.3880 
   00103    0.4184   -8231.2162  0.3926 
   00104    0.4260   -8241.8090  0.3867 
   00105    0.4276   -8187.1489  0.3854 
   00106    0.4292   -8171.7832  0.3809 
   00107    0.4096   -8240.6392  0.3857 
   00108    0.4180   -8266.5162  0.3827 
   00109    0.4384   -8261.1972  0.3797 
   00110    0.4020   -8247.9560  0.3827 
   00111    0.4288   -8250.7027  0.3770 
   00112    0.4072   -8258.9821  0.3776 
   00113    0.4120   -8280.6070  0.3755 
   00114    0.4120   -8311.7663  0.3719 
   00115    0.4224   -8328.3867  0.3688 
   00116    0.4216   -8295.6815  0.3668 
   00117    0.4224   -8280.2449  0.3595 
   00118    0.4032   -8274.6832  0.3572 
   00119    0.4188   -8263.7373  0.3546 
   00120    0.4140   -8297.8470  0.3625 
   00121    0.4160   -8292.3843  0.3586 
   00122    0.4204   -8276.8507  0.3536 
   00123    0.4124   -8289.8409  0.3621 
   00124    0.4264   -8323.2072  0.3687 
   00125    0.4324   -8260.5475  0.3639 
   00126    0.4172   -8271.9079  0.3599 
   00127    0.4344   -8323.8671  0.3664 
   00128    0.4184   -8303.4318  0.3716 
   00129    0.4268   -8278.7936  0.3650 
   00130    0.4044   -8311.8847  0.3604 
   00131    0.4060   -8332.2313  0.3593 
   00132    0.4076   -8304.8871  0.3552 
   00133    0.4264   -8289.3732  0.3584 
   00134    0.4064   -8316.2399  0.3576 
   00135    0.4200   -8274.4610  0.3542 
   00136    0.4100   -8284.2944  0.3574 
   00137    0.4024   -8299.6283  0.3577 
   00138    0.4216   -8272.8225  0.3606 
   00139    0.4208   -8265.0127  0.3650 
   00140    0.4244   -8297.7702  0.3616 
   00141    0.4388   -8255.1371  0.3554 
   00142    0.4132   -8311.5146  0.3576 
   00143    0.4100   -8346.1349  0.3538 
   00144    0.4152   -8328.0659  0.3495 
   00145    0.4076   -8334.5340  0.3505 
   00146    0.4300   -8327.4231  0.3554 
   00147    0.4308   -8295.6471  0.3565 
   00148    0.3972   -8342.5096  0.3577 
   00149    0.4400   -8312.0825  0.3658 
   00150    0.4092   -8305.2645  0.3665 
   00151    0.4120   -8316.0553  0.3660 
   00152    0.4084   -8382.7819  0.3634 
   00153    0.4168   -8402.5860  0.3645 
   00154    0.4116   -8357.9771  0.3601 
   00155    0.4120   -8362.1107  0.3591 
   00156    0.4160   -8324.5599  0.3577 
   00157    0.4348   -8279.5835  0.3585 
   00158    0.4352   -8309.4902  0.3553 
   00159    0.4328   -8289.2058  0.3502 
   00160    0.4412   -8385.1357  0.3504 
   00161    0.4152   -8405.2946  0.3533 
   00162    0.4080   -8387.6818  0.3521 
   00163    0.4224   -8383.7271  0.3455 
   00164    0.4132   -8376.5518  0.3449 
   00165    0.4240   -8427.4594  0.3417 
   00166    0.3972   -8438.5964  0.3486 
   00167    0.4056   -8448.5985  0.3472 
   00168    0.4120   -8451.1037  0.3447 
   00169    0.4120   -8479.8242  0.3526 
   00170    0.4272   -8480.9356  0.3597 
   00171    0.4108   -8396.5246  0.3611 
   00172    0.4100   -8403.2871  0.3575 
   00173    0.3984   -8441.1435  0.3589 
   00174    0.4132   -8437.7709  0.3669 
   00175    0.4256   -8471.3129  0.3611 
   00176    0.4132   -8486.7713  0.3611 
   00177    0.4096   -8430.2915  0.3548 
   00178    0.4040   -8415.6944  0.3579 
   00179    0.4248   -8424.9164  0.3603 
   00180    0.4184   -8384.3167  0.3569 
   00181    0.4116   -8385.3222  0.3598 
   00182    0.4172   -8344.9489  0.3585 
   00183    0.4320   -8345.3858  0.3486 
   00184    0.4124   -8388.0437  0.3485 
   00185    0.4260   -8386.3642  0.3454 
   00186    0.4120   -8383.1055  0.3487 
   00187    0.3932   -8377.1640  0.3482 
   00188    0.4148   -8404.7576  0.3512 
   00189    0.4044   -8388.2886  0.3446 
   00190    0.4196   -8442.6148  0.3425 
   00191    0.4136   -8477.6748  0.3352 
   00192    0.4008   -8466.8333  0.3339 
   00193    0.4024   -8447.1921  0.3375 
   00194    0.4116   -8443.2881  0.3395 
   00195    0.4104   -8420.0658  0.3372 
   00196    0.4172   -8370.7992  0.3371 
   00197    0.4184   -8369.1105  0.3349 
   00198    0.4120   -8357.1977  0.3368 
   00199    0.4232   -8379.5432  0.3365 
   00200    0.4080   -8363.5701  0.3347 
   00201    0.4120   -8360.6760  0.3341 
   00202    0.4028   -8371.2847  0.3308 
   00203    0.4096   -8407.7691  0.3287 
   00204    0.4148   -8389.3786  0.3358 
   00205    0.4068   -8444.2767  0.3341 
   00206    0.4240   -8460.6596  0.3354 
   00207    0.4112   -8467.8267  0.3283 
   00208    0.4200   -8478.4163  0.3288 
   00209    0.4332   -8485.7654  0.3316 
   00210    0.4356   -8462.8738  0.3248 
   00211    0.4020   -8448.7823  0.3266 
   00212    0.4148   -8453.4490  0.3296 
   00213    0.4232   -8443.3477  0.3306 
   00214    0.4276   -8443.5221  0.3267 
   00215    0.4120   -8468.3127  0.3232 
   00216    0.4248   -8451.5775  0.3256 
   00217    0.4028   -8416.4729  0.3250 
   00218    0.4120   -8413.8443  0.3254 
   00219    0.4352   -8347.2682  0.3211 
   00220    0.4020   -8395.4063  0.3179 
   00221    0.4176   -8358.3622  0.3200 
   00222    0.4156   -8346.9619  0.3185 
   00223    0.4148   -8303.6930  0.3184 
   00224    0.4184   -8314.3222  0.3180 
   00225    0.4372   -8344.0327  0.3187 
   00226    0.4280   -8377.4658  0.3171 
