#=====================================================
# File created:        Wed-30-Oct-2024-at-06-13-04PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        2.267664
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.4144   -5421.8122  0.5805 
   00140    0.3937   -5435.5638  0.5760 
   00141    0.4325   -5447.2539  0.5818 
   00142    0.4050   -5419.2517  0.5830 
   00143    0.4094   -5439.0389  0.5873 
   00144    0.3981   -5435.3538  0.5884 
   00145    0.4006   -5469.6714  0.5904 
   00146    0.3981   -5449.0457  0.5911 
   00147    0.3950   -5460.9115  0.5861 
   00148    0.4144   -5455.1303  0.5856 
   00149    0.4263   -5448.3097  0.5875 
   00150    0.4088   -5476.8635  0.5941 
   00151    0.3994   -5474.2607  0.5992 
   00152    0.4106   -5469.7241  0.6121 
   00153    0.4163   -5468.0583  0.6084 
   00154    0.4194   -5463.0776  0.6144 
   00155    0.4050   -5454.1575  0.6160 
   00156    0.4288   -5463.1207  0.6197 
   00157    0.4069   -5481.9963  0.6249 
   00158    0.4119   -5460.0482  0.6210 
   00159    0.4081   -5485.0552  0.6221 
   00160    0.4381   -5521.7483  0.6189 
   00161    0.4125   -5491.0547  0.6199 
   00162    0.4050   -5459.8566  0.6222 
   00163    0.4363   -5489.3647  0.6256 
   00164    0.4081   -5499.7394  0.6275 
   00165    0.3962   -5474.0977  0.6240 
   00166    0.3894   -5441.3171  0.6231 
   00167    0.4313   -5440.1919  0.6270 
   00168    0.4106   -5444.5237  0.6286 
   00169    0.4131   -5439.3442  0.6375 
   00170    0.4163   -5445.2513  0.6399 
   00171    0.4306   -5437.7582  0.6324 
   00172    0.4125   -5423.3514  0.6342 
   00173    0.4294   -5426.7617  0.6364 
   00174    0.4100   -5411.5721  0.6400 
   00175    0.4169   -5405.6941  0.6353 
   00176    0.4088   -5387.8020  0.6321 
   00177    0.4431   -5359.9290  0.6331 
   00178    0.4138   -5412.3832  0.6333 
   00179    0.4256   -5456.0848  0.6369 
