#=====================================================
# File created:        Thu-31-Oct-2024-at-02-24-51AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        3.608124
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2517.3515  0.2633 
   00001    0.6660   -3786.5797  0.2615 
   00002    0.6196   -4592.1514  0.2646 
   00003    0.5968   -5108.5619  0.2655 
   00004    0.5668   -5487.0599  0.2640 
   00005    0.5248   -5846.3533  0.2790 
   00006    0.5188   -6151.7560  0.2869 
   00007    0.5024   -6340.4358  0.2856 
   00008    0.5176   -6509.8888  0.2864 
   00009    0.4908   -6731.7924  0.2791 
   00010    0.4804   -6841.0749  0.2779 
   00011    0.4664   -6980.2240  0.2788 
   00012    0.4780   -7082.8562  0.2821 
   00013    0.4584   -7197.8324  0.2867 
   00014    0.4572   -7281.8868  0.2935 
   00015    0.4552   -7379.2884  0.3038 
   00016    0.4404   -7475.9945  0.3031 
   00017    0.4520   -7552.5275  0.2995 
   00018    0.4384   -7579.1131  0.2979 
   00019    0.4356   -7616.8316  0.2956 
   00020    0.4408   -7626.7722  0.2995 
   00021    0.4512   -7669.7318  0.3052 
   00022    0.4488   -7680.9002  0.3150 
   00023    0.4388   -7718.0401  0.3159 
   00024    0.4432   -7726.6094  0.3185 
   00025    0.4208   -7689.2060  0.3237 
   00026    0.4536   -7774.3479  0.3257 
   00027    0.4268   -7793.6644  0.3342 
   00028    0.4344   -7800.3962  0.3390 
   00029    0.4276   -7841.8218  0.3372 
   00030    0.4300   -7888.3916  0.3373 
   00031    0.4380   -7884.9016  0.3410 
   00032    0.4324   -7893.6444  0.3375 
   00033    0.4384   -7916.6430  0.3425 
   00034    0.4200   -7932.8897  0.3379 
   00035    0.4356   -7994.5677  0.3330 
   00036    0.4208   -8040.1113  0.3294 
   00037    0.4328   -8067.3835  0.3186 
   00038    0.4264   -8063.8981  0.3184 
   00039    0.4264   -8065.0842  0.3185 
   00040    0.4336   -7980.8433  0.3241 
   00041    0.4228   -7997.6695  0.3272 
   00042    0.4204   -7977.8797  0.3286 
   00043    0.4380   -7986.4235  0.3247 
   00044    0.4308   -7985.7824  0.3290 
   00045    0.4308   -7982.7705  0.3284 
   00046    0.4308   -7969.7104  0.3293 
   00047    0.4308   -8021.1986  0.3296 
   00048    0.4260   -8016.8449  0.3320 
   00049    0.4304   -8071.2197  0.3376 
   00050    0.4308   -8088.5159  0.3410 
   00051    0.4460   -8108.2503  0.3419 
   00052    0.4320   -8118.5670  0.3438 
   00053    0.4296   -8140.0157  0.3434 
   00054    0.4260   -8142.3664  0.3435 
   00055    0.4272   -8134.0764  0.3437 
   00056    0.4040   -8154.3798  0.3351 
   00057    0.4288   -8190.8778  0.3364 
   00058    0.4168   -8182.1324  0.3396 
   00059    0.4300   -8192.2221  0.3388 
   00060    0.4028   -8214.5198  0.3443 
   00061    0.4316   -8242.9257  0.3506 
   00062    0.4368   -8207.1679  0.3521 
   00063    0.4360   -8222.8386  0.3519 
   00064    0.4412   -8239.3359  0.3495 
   00065    0.4220   -8219.1891  0.3494 
   00066    0.4188   -8275.5766  0.3446 
   00067    0.4272   -8204.7907  0.3526 
   00068    0.4284   -8249.9264  0.3542 
   00069    0.4032   -8286.1662  0.3620 
   00070    0.4132   -8254.5390  0.3651 
   00071    0.4304   -8230.8031  0.3647 
   00072    0.4176   -8223.8274  0.3619 
   00073    0.4236   -8228.2671  0.3703 
   00074    0.4164   -8220.1221  0.3711 
   00075    0.4292   -8271.8985  0.3695 
   00076    0.4288   -8304.5661  0.3779 
   00077    0.4060   -8294.8542  0.3800 
   00078    0.4296   -8320.0601  0.3822 
   00079    0.4104   -8333.8786  0.3851 
   00080    0.4140   -8377.5693  0.3877 
   00081    0.4200   -8344.4882  0.3810 
   00082    0.4240   -8330.1971  0.3843 
   00083    0.4104   -8332.2068  0.3888 
   00084    0.4384   -8319.4749  0.3866 
   00085    0.4260   -8312.6874  0.3871 
   00086    0.4072   -8266.1672  0.3898 
   00087    0.4280   -8284.1761  0.3888 
   00088    0.4288   -8276.6072  0.3902 
   00089    0.4164   -8241.3412  0.3880 
   00090    0.4240   -8265.9958  0.3869 
   00091    0.4164   -8313.2602  0.3846 
   00092    0.4140   -8356.4621  0.3891 
   00093    0.4064   -8381.7789  0.3873 
   00094    0.4060   -8372.1645  0.3757 
   00095    0.4260   -8321.3805  0.3769 
   00096    0.4112   -8363.6490  0.3709 
   00097    0.4208   -8368.4802  0.3789 
   00098    0.4112   -8364.0370  0.3834 
   00099    0.4132   -8402.1901  0.3876 
   00100    0.4196   -8392.6763  0.3832 
   00101    0.3952   -8340.1753  0.3833 
   00102    0.4220   -8331.5644  0.3681 
   00103    0.4128   -8381.2403  0.3708 
   00104    0.4164   -8377.6919  0.3743 
   00105    0.4084   -8387.8770  0.3794 
   00106    0.4104   -8412.8853  0.3756 
   00107    0.4132   -8427.1613  0.3811 
   00108    0.4180   -8393.9436  0.3843 
   00109    0.4104   -8399.6672  0.3771 
   00110    0.4384   -8371.1537  0.3773 
   00111    0.4316   -8349.4203  0.3782 
   00112    0.4188   -8372.4619  0.3762 
   00113    0.3972   -8368.1304  0.3733 
   00114    0.4080   -8379.1413  0.3727 
   00115    0.4084   -8395.5214  0.3703 
   00116    0.4228   -8380.6910  0.3654 
   00117    0.4080   -8374.2678  0.3624 
   00118    0.4232   -8412.4184  0.3690 
   00119    0.4188   -8378.0734  0.3726 
   00120    0.4232   -8361.5921  0.3695 
   00121    0.4004   -8377.8227  0.3633 
   00122    0.4116   -8428.0846  0.3587 
   00123    0.4116   -8377.6354  0.3539 
   00124    0.4020   -8402.9110  0.3585 
   00125    0.4132   -8384.0903  0.3552 
   00126    0.4080   -8379.2384  0.3574 
   00127    0.4188   -8460.2688  0.3542 
   00128    0.4084   -8469.3741  0.3545 
   00129    0.4072   -8464.6460  0.3536 
   00130    0.4108   -8413.9103  0.3548 
   00131    0.4224   -8381.3300  0.3558 
   00132    0.4132   -8410.3855  0.3545 
   00133    0.4064   -8433.7260  0.3555 
   00134    0.4076   -8453.3489  0.3537 
   00135    0.4240   -8409.5133  0.3574 
   00136    0.4164   -8391.9481  0.3632 
   00137    0.3984   -8363.1013  0.3679 
   00138    0.4288   -8370.3684  0.3700 
   00139    0.4140   -8345.9988  0.3719 
   00140    0.4120   -8357.4250  0.3725 
   00141    0.4152   -8349.0509  0.3754 
   00142    0.4032   -8351.1587  0.3737 
   00143    0.4272   -8372.7776  0.3686 
   00144    0.4108   -8386.1218  0.3731 
   00145    0.4192   -8389.6697  0.3743 
   00146    0.4128   -8423.0016  0.3773 
   00147    0.4124   -8438.1386  0.3819 
   00148    0.4156   -8431.7527  0.3823 
   00149    0.4172   -8441.8503  0.3821 
   00150    0.4220   -8436.7476  0.3797 
   00151    0.4088   -8462.8736  0.3807 
   00152    0.4160   -8470.6189  0.3852 
   00153    0.4116   -8441.6198  0.3842 
   00154    0.4188   -8419.1630  0.3807 
   00155    0.4144   -8424.9340  0.3851 
   00156    0.4136   -8449.3311  0.3788 
   00157    0.3928   -8465.2789  0.3824 
   00158    0.4208   -8424.9258  0.3748 
   00159    0.4236   -8470.2536  0.3724 
   00160    0.4100   -8427.0455  0.3670 
   00161    0.3992   -8475.2861  0.3692 
   00162    0.3988   -8441.8939  0.3651 
   00163    0.4308   -8408.3461  0.3632 
   00164    0.4116   -8431.5006  0.3679 
   00165    0.4328   -8431.0242  0.3659 
   00166    0.3928   -8453.6883  0.3672 
   00167    0.4068   -8440.4089  0.3712 
   00168    0.4248   -8454.9713  0.3771 
   00169    0.4284   -8432.5290  0.3790 
   00170    0.4180   -8419.9334  0.3794 
   00171    0.4316   -8427.9744  0.3744 
   00172    0.4184   -8440.5336  0.3723 
   00173    0.4112   -8458.3505  0.3747 
   00174    0.4260   -8463.1286  0.3764 
   00175    0.4292   -8478.4539  0.3727 
   00176    0.4140   -8452.4852  0.3779 
   00177    0.4184   -8490.9958  0.3718 
   00178    0.4112   -8497.9865  0.3713 
   00179    0.4056   -8475.4343  0.3706 
   00180    0.4216   -8455.6386  0.3659 
   00181    0.4152   -8437.8550  0.3684 
   00182    0.4084   -8480.3860  0.3684 
   00183    0.3896   -8459.0131  0.3664 
   00184    0.4080   -8460.5446  0.3665 
   00185    0.4096   -8449.2953  0.3677 
   00186    0.3992   -8430.5417  0.3703 
   00187    0.4260   -8419.6060  0.3683 
   00188    0.4292   -8437.2758  0.3652 
   00189    0.4172   -8458.2359  0.3668 
   00190    0.4236   -8443.4802  0.3737 
   00191    0.4076   -8444.9600  0.3784 
   00192    0.4192   -8446.3800  0.3739 
   00193    0.4256   -8448.2070  0.3771 
   00194    0.4124   -8449.2365  0.3793 
   00195    0.4288   -8405.1447  0.3789 
   00196    0.4060   -8442.7497  0.3823 
   00197    0.4032   -8469.0253  0.3830 
   00198    0.4160   -8483.5134  0.3862 
   00199    0.4208   -8425.6053  0.3853 
   00200    0.3996   -8447.3152  0.3881 
   00201    0.4312   -8471.4131  0.3923 
   00202    0.4036   -8518.5858  0.3899 
   00203    0.4188   -8492.0416  0.3933 
   00204    0.4228   -8476.2535  0.3977 
   00205    0.4252   -8497.2917  0.3900 
   00206    0.4244   -8518.1916  0.3907 
   00207    0.3976   -8508.3281  0.3841 
   00208    0.4008   -8507.6097  0.3833 
   00209    0.3864   -8464.0018  0.3812 
   00210    0.4144   -8485.4345  0.3812 
   00211    0.4116   -8475.8893  0.3829 
   00212    0.4260   -8479.6206  0.3833 
   00213    0.4032   -8422.0640  0.3861 
   00214    0.4220   -8390.7141  0.3838 
   00215    0.4240   -8440.6115  0.3781 
   00216    0.4232   -8476.9939  0.3834 
   00217    0.4012   -8472.2655  0.3867 
   00218    0.3992   -8462.6904  0.3858 
   00219    0.4376   -8486.8224  0.3881 
   00220    0.4192   -8489.5643  0.3879 
   00221    0.3988   -8458.2613  0.3844 
   00222    0.4096   -8449.8981  0.3897 
   00223    0.4332   -8416.6006  0.3878 
   00224    0.4236   -8416.4652  0.3931 
   00225    0.4140   -8404.9607  0.3910 
   00226    0.4212   -8407.1661  0.3858 
   00227    0.4164   -8435.8241  0.3901 
   00228    0.4064   -8376.4552  0.3935 
   00229    0.4268   -8402.3889  0.3954 
   00230    0.4160   -8405.0064  0.3965 
   00231    0.4292   -8432.5849  0.3967 
   00232    0.4020   -8430.2947  0.4046 
   00233    0.4144   -8444.8860  0.4083 
   00234    0.4164   -8509.4304  0.4120 
   00235    0.4056   -8463.1186  0.4083 
   00236    0.4116   -8464.5971  0.4071 
   00237    0.4212   -8475.8491  0.4025 
   00238    0.4236   -8470.8599  0.4027 
   00239    0.4364   -8456.1531  0.4033 
   00240    0.4040   -8439.6559  0.4015 
   00241    0.4176   -8452.5056  0.4031 
   00242    0.4132   -8463.7870  0.4091 
   00243    0.4120   -8489.0902  0.4143 
   00244    0.4132   -8497.9191  0.4210 
   00245    0.4080   -8550.1635  0.4237 
   00246    0.4148   -8501.9765  0.4276 
   00247    0.4112   -8499.5433  0.4326 
   00248    0.4140   -8503.9110  0.4253 
   00249    0.4040   -8529.0844  0.4278 
   00250    0.4100   -8518.7793  0.4289 
   00251    0.4148   -8528.7497  0.4347 
   00252    0.4172   -8525.0457  0.4377 
   00253    0.4032   -8574.1554  0.4362 
   00254    0.4044   -8549.9291  0.4381 
   00255    0.4276   -8545.8387  0.4388 
   00256    0.4116   -8585.7375  0.4451 
   00257    0.3948   -8570.1883  0.4426 
   00258    0.4088   -8561.6677  0.4429 
   00259    0.4136   -8574.4346  0.4474 
   00260    0.4204   -8525.5353  0.4518 
   00261    0.4196   -8551.6569  0.4514 
   00262    0.4032   -8558.6106  0.4503 
   00263    0.4048   -8500.5682  0.4517 
   00264    0.4024   -8527.2111  0.4565 
   00265    0.4144   -8561.7244  0.4632 
   00266    0.4076   -8484.8763  0.4584 
   00267    0.4084   -8508.7685  0.4544 
   00268    0.4044   -8533.8474  0.4583 
   00269    0.4012   -8541.6179  0.4582 
   00270    0.4272   -8546.4334  0.4626 
   00271    0.4064   -8520.1138  0.4654 
   00272    0.4108   -8500.2860  0.4647 
   00273    0.4148   -8498.7150  0.4689 
   00274    0.4048   -8433.1961  0.4657 
   00275    0.3904   -8409.2052  0.4586 
   00276    0.4128   -8410.5438  0.4610 
   00277    0.4328   -8438.1197  0.4598 
   00278    0.4028   -8399.7681  0.4616 
   00279    0.4104   -8421.9111  0.4570 
   00280    0.4080   -8440.0023  0.4574 
   00281    0.4124   -8482.8639  0.4562 
   00282    0.4000   -8482.3674  0.4584 
   00283    0.4136   -8483.6933  0.4494 
   00284    0.4072   -8466.2860  0.4489 
   00285    0.4196   -8445.1676  0.4478 
   00286    0.4068   -8460.2526  0.4481 
   00287    0.3968   -8485.5478  0.4509 
   00288    0.4116   -8446.0600  0.4528 
   00289    0.4248   -8446.4056  0.4505 
   00290    0.4084   -8476.1847  0.4572 
   00291    0.4240   -8427.2059  0.4525 
   00292    0.4184   -8464.9215  0.4601 
   00293    0.4092   -8495.3696  0.4644 
   00294    0.4252   -8465.7227  0.4649 
   00295    0.4212   -8449.4719  0.4649 
   00296    0.3996   -8450.4079  0.4656 
   00297    0.4108   -8441.0823  0.4619 
   00298    0.4100   -8417.1497  0.4673 
   00299    0.4128   -8461.8646  0.4621 
   00300    0.4044   -8504.4941  0.4648 
   00301    0.3968   -8484.8698  0.4663 
   00302    0.4084   -8505.3202  0.4690 
   00303    0.4136   -8461.6964  0.4679 
   00304    0.4024   -8431.2898  0.4682 
   00305    0.4096   -8446.0864  0.4687 
   00306    0.4232   -8455.4705  0.4680 
   00307    0.4092   -8445.1566  0.4699 
   00308    0.4016   -8451.0945  0.4709 
   00309    0.4244   -8446.5317  0.4733 
   00310    0.3932   -8481.7152  0.4762 
   00311    0.4052   -8535.7810  0.4811 
   00312    0.4268   -8524.1575  0.4834 
   00313    0.4092   -8509.5880  0.4863 
   00314    0.4208   -8566.0969  0.4874 
   00315    0.4140   -8525.5571  0.4888 
   00316    0.4124   -8507.1886  0.4810 
   00317    0.4220   -8511.3169  0.4825 
   00318    0.4156   -8498.9630  0.4842 
   00319    0.4272   -8471.2530  0.4802 
   00320    0.4132   -8493.0934  0.4827 
   00321    0.3996   -8508.6780  0.4795 
   00322    0.4104   -8546.6064  0.4828 
   00323    0.4240   -8499.5656  0.4787 
   00324    0.4024   -8516.7747  0.4720 
   00325    0.4040   -8506.0188  0.4733 
   00326    0.4092   -8509.4761  0.4733 
   00327    0.4124   -8450.9950  0.4747 
   00328    0.4004   -8373.3378  0.4730 
   00329    0.4264   -8356.8227  0.4722 
   00330    0.4172   -8462.4619  0.4772 
   00331    0.4232   -8465.6572  0.4801 
   00332    0.4156   -8436.1421  0.4795 
   00333    0.4268   -8459.4505  0.4842 
   00334    0.3992   -8455.0070  0.4822 
   00335    0.4224   -8435.1541  0.4792 
   00336    0.4132   -8449.3161  0.4801 
   00337    0.4092   -8533.7997  0.4785 
   00338    0.4152   -8526.6894  0.4798 
   00339    0.4036   -8523.2378  0.4819 
   00340    0.4088   -8554.5028  0.4818 
   00341    0.4248   -8543.3306  0.4797 
   00342    0.4020   -8525.1061  0.4753 
   00343    0.4144   -8555.1529  0.4789 
   00344    0.4028   -8532.5999  0.4770 
   00345    0.4092   -8523.3610  0.4829 
   00346    0.4096   -8483.2390  0.4840 
   00347    0.4192   -8493.5187  0.4806 
