#=====================================================
# File created:        Wed-30-Oct-2024-at-08-33-36PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        3.833422
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2495.0577  0.2607 
   00001    0.6764   -3666.4062  0.2765 
   00002    0.6352   -4413.3849  0.2800 
   00003    0.6072   -5019.4020  0.2787 
   00004    0.5600   -5397.6379  0.2817 
   00005    0.5348   -5707.9986  0.3016 
   00006    0.5284   -6054.3586  0.3021 
   00007    0.5292   -6321.7238  0.3147 
   00008    0.5104   -6538.0008  0.3261 
   00009    0.4940   -6690.1706  0.3255 
   00010    0.5096   -6851.7666  0.3270 
   00011    0.4780   -6971.2530  0.3265 
   00012    0.4488   -7126.5465  0.3279 
   00013    0.4600   -7199.4835  0.3285 
   00014    0.4648   -7331.4379  0.3261 
   00015    0.4612   -7381.4624  0.3289 
   00016    0.4604   -7458.0559  0.3248 
   00017    0.4664   -7554.9482  0.3292 
   00018    0.4456   -7587.2612  0.3301 
   00019    0.4516   -7622.2110  0.3360 
   00020    0.4492   -7637.0180  0.3417 
   00021    0.4292   -7654.1711  0.3493 
   00022    0.4496   -7677.2579  0.3486 
   00023    0.4428   -7634.0607  0.3422 
   00024    0.4524   -7660.7663  0.3449 
   00025    0.4536   -7696.3467  0.3419 
   00026    0.4620   -7729.8306  0.3464 
   00027    0.4376   -7785.1158  0.3449 
   00028    0.4432   -7800.7401  0.3431 
   00029    0.4368   -7832.0069  0.3495 
   00030    0.4276   -7886.6849  0.3461 
   00031    0.4312   -7881.7239  0.3477 
   00032    0.4436   -7887.7017  0.3491 
   00033    0.4376   -7874.6754  0.3479 
   00034    0.4360   -7883.9826  0.3464 
   00035    0.4252   -7896.8676  0.3464 
   00036    0.4372   -7902.7605  0.3459 
   00037    0.4464   -7857.7826  0.3441 
   00038    0.4420   -7863.5683  0.3412 
   00039    0.4288   -7948.0942  0.3415 
   00040    0.4228   -7959.5943  0.3391 
   00041    0.4336   -7903.7132  0.3459 
   00042    0.4408   -7957.5691  0.3452 
   00043    0.4276   -7981.5441  0.3451 
   00044    0.4324   -8007.0214  0.3458 
   00045    0.4368   -8037.1417  0.3456 
   00046    0.4260   -8015.8951  0.3420 
   00047    0.4148   -8047.0206  0.3423 
   00048    0.4400   -8073.1096  0.3350 
   00049    0.4252   -8080.0833  0.3326 
   00050    0.4368   -8070.8884  0.3340 
