#=====================================================
# File created:        Thu-31-Oct-2024-at-02-25-32AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.540606
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2452.3101  0.2660 
   00001    1.0000   -2510.8442  0.2678 
   00002    1.0000   -2523.7131  0.2591 
   00003    1.0000   -2531.5807  0.2596 
   00004    1.0000   -2495.9146  0.2547 
   00005    1.0000   -2439.3762  0.2593 
   00006    1.0000   -2480.8530  0.2595 
   00007    1.0000   -2466.2708  0.2526 
   00008    1.0000   -2515.7117  0.2597 
   00009    1.0000   -2493.5489  0.2659 
   00010    1.0000   -2396.9042  0.2688 
   00011    1.0000   -2417.0226  0.2708 
   00012    1.0000   -2336.0647  0.2791 
   00013    1.0000   -2405.0645  0.2769 
   00014    1.0000   -2413.9921  0.2613 
   00015    1.0000   -2482.4158  0.2592 
   00016    1.0000   -2498.5436  0.2571 
   00017    1.0000   -2445.5522  0.2607 
   00018    1.0000   -2448.5841  0.2653 
   00019    1.0000   -2447.1836  0.2688 
   00020    0.0000   -2533.9310  0.2624 
   00021    1.0000   -2448.4549  0.2578 
   00022    1.0000   -2567.4835  0.2606 
   00023    1.0000   -2550.4624  0.2666 
   00024    1.0000   -2570.7889  0.2690 
   00025    1.0000   -2568.2703  0.2594 
   00026    1.0000   -2489.3931  0.2647 
   00027    1.0000   -2471.3472  0.2640 
   00028    1.0000   -2449.9031  0.2731 
   00029    1.0000   -2374.8669  0.2725 
   00030    1.0000   -2392.8583  0.2682 
   00031    1.0000   -2383.5861  0.2740 
   00032    1.0000   -2512.2541  0.2818 
   00033    1.0000   -2554.2770  0.2794 
   00034    1.0000   -2512.8159  0.2788 
   00035    1.0000   -2588.0355  0.2828 
   00036    1.0000   -2516.9894  0.2834 
   00037    0.0000   -2445.0556  0.2890 
   00038    1.0000   -2432.9735  0.2756 
   00039    1.0000   -2368.3271  0.2718 
   00040    1.0000   -2476.1602  0.2732 
   00041    1.0000   -2531.8904  0.2601 
   00042    0.0000   -2549.3441  0.2590 
   00043    1.0000   -2507.5437  0.2631 
   00044    1.0000   -2554.2045  0.2586 
   00045    1.0000   -2586.7786  0.2542 
   00046    1.0000   -2593.8284  0.2581 
   00047    1.0000   -2453.1983  0.2650 
   00048    1.0000   -2454.4554  0.2570 
   00049    1.0000   -2469.1631  0.2689 
   00050    1.0000   -2495.1456  0.2677 
   00051    1.0000   -2458.1692  0.2599 
   00052    1.0000   -2393.9127  0.2581 
   00053    1.0000   -2491.1802  0.2534 
   00054    1.0000   -2547.0231  0.2584 
   00055    1.0000   -2412.2302  0.2561 
   00056    1.0000   -2429.7296  0.2607 
   00057    1.0000   -2447.8925  0.2617 
   00058    1.0000   -2443.5641  0.2632 
   00059    1.0000   -2562.4900  0.2591 
   00060    1.0000   -2532.5792  0.2579 
   00061    1.0000   -2451.9563  0.2715 
   00062    1.0000   -2533.9381  0.2664 
   00063    1.0000   -2598.5364  0.2679 
   00064    1.0000   -2592.3699  0.2733 
   00065    1.0000   -2604.3070  0.2669 
   00066    1.0000   -2593.9367  0.2696 
   00067    1.0000   -2515.9611  0.2688 
   00068    0.0000   -2494.5986  0.2608 
   00069    1.0000   -2574.6463  0.2612 
   00070    1.0000   -2509.1062  0.2692 
   00071    1.0000   -2623.8327  0.2702 
   00072    1.0000   -2551.3151  0.2678 
   00073    1.0000   -2551.8206  0.2598 
   00074    1.0000   -2466.8196  0.2583 
   00075    1.0000   -2591.6121  0.2579 
   00076    1.0000   -2529.2262  0.2694 
   00077    1.0000   -2575.2948  0.2752 
   00078    1.0000   -2588.8819  0.2683 
   00079    1.0000   -2480.6930  0.2727 
   00080    1.0000   -2525.5086  0.2670 
   00081    1.0000   -2436.7303  0.2628 
   00082    1.0000   -2380.9978  0.2596 
   00083    1.0000   -2363.0234  0.2581 
   00084    1.0000   -2406.8210  0.2584 
   00085    1.0000   -2513.3061  0.2516 
   00086    1.0000   -2537.3571  0.2610 
   00087    0.0000   -2484.0632  0.2692 
   00088    1.0000   -2501.3076  0.2731 
   00089    1.0000   -2474.6502  0.2679 
   00090    1.0000   -2477.1919  0.2675 
   00091    1.0000   -2496.3866  0.2675 
   00092    1.0000   -2456.2423  0.2566 
   00093    1.0000   -2397.3368  0.2603 
   00094    0.0000   -2482.2902  0.2555 
   00095    1.0000   -2599.8068  0.2620 
   00096    1.0000   -2552.3587  0.2653 
   00097    1.0000   -2574.1400  0.2535 
