#=====================================================
# File created:        Thu-31-Oct-2024-at-02-25-12AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.511995
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2613.4307  0.2643 
   00001    1.0000   -2539.0817  0.2694 
   00002    1.0000   -2516.5543  0.2608 
   00003    1.0000   -2514.4494  0.2769 
   00004    1.0000   -2542.6917  0.2690 
   00005    1.0000   -2547.0289  0.2672 
   00006    1.0000   -2545.6733  0.2644 
   00007    1.0000   -2615.7739  0.2763 
   00008    1.0000   -2517.3295  0.2698 
   00009    1.0000   -2496.0853  0.2610 
   00010    1.0000   -2498.3459  0.2591 
   00011    1.0000   -2418.9265  0.2670 
   00012    1.0000   -2500.1044  0.2676 
   00013    1.0000   -2490.3561  0.2694 
   00014    1.0000   -2447.7977  0.2663 
   00015    1.0000   -2485.5704  0.2611 
   00016    1.0000   -2520.6525  0.2577 
   00017    1.0000   -2594.1376  0.2520 
   00018    1.0000   -2504.7272  0.2663 
   00019    1.0000   -2446.5573  0.2687 
   00020    1.0000   -2426.7795  0.2666 
   00021    1.0000   -2440.4328  0.2744 
   00022    1.0000   -2467.6230  0.2742 
   00023    1.0000   -2432.7123  0.2814 
   00024    1.0000   -2536.4291  0.2640 
   00025    1.0000   -2526.3358  0.2690 
   00026    1.0000   -2521.9129  0.2752 
   00027    1.0000   -2450.3528  0.2754 
   00028    1.0000   -2455.8342  0.2714 
   00029    1.0000   -2548.4957  0.2586 
   00030    1.0000   -2411.1626  0.2558 
   00031    1.0000   -2386.9630  0.2698 
   00032    1.0000   -2529.9868  0.2731 
   00033    1.0000   -2516.3722  0.2614 
   00034    1.0000   -2483.7462  0.2591 
   00035    1.0000   -2573.1245  0.2634 
   00036    0.0000   -2545.8073  0.2661 
   00037    1.0000   -2584.4533  0.2666 
   00038    1.0000   -2671.7732  0.2640 
   00039    1.0000   -2594.4180  0.2628 
   00040    1.0000   -2559.4050  0.2684 
   00041    1.0000   -2544.7915  0.2622 
   00042    0.0000   -2613.6830  0.2650 
   00043    0.0000   -2576.9266  0.2572 
   00044    1.0000   -2611.3424  0.2578 
   00045    1.0000   -2506.1256  0.2603 
   00046    1.0000   -2524.9932  0.2639 
   00047    1.0000   -2577.9066  0.2720 
   00048    1.0000   -2636.6197  0.2730 
   00049    1.0000   -2702.5037  0.2667 
