#=====================================================
# File created:        Thu-31-Oct-2024-at-02-25-17AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.531962
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2388.9337  0.2766 
   00001    1.0000   -2345.7785  0.2675 
   00002    1.0000   -2348.0318  0.2538 
   00003    1.0000   -2294.8643  0.2533 
   00004    1.0000   -2295.2355  0.2557 
   00005    1.0000   -2423.4035  0.2592 
   00006    1.0000   -2494.5196  0.2622 
   00007    1.0000   -2458.6257  0.2602 
   00008    1.0000   -2469.9121  0.2578 
   00009    1.0000   -2460.9700  0.2650 
   00010    1.0000   -2443.3451  0.2672 
   00011    1.0000   -2543.4711  0.2771 
   00012    1.0000   -2657.8220  0.2743 
   00013    1.0000   -2517.4117  0.2673 
   00014    1.0000   -2530.2839  0.2617 
   00015    1.0000   -2505.8276  0.2546 
   00016    1.0000   -2465.5643  0.2596 
   00017    1.0000   -2430.3988  0.2574 
   00018    1.0000   -2447.8960  0.2576 
   00019    1.0000   -2453.6953  0.2585 
   00020    1.0000   -2484.6255  0.2537 
   00021    0.0000   -2475.2078  0.2518 
   00022    1.0000   -2488.1128  0.2702 
   00023    1.0000   -2415.3638  0.2664 
   00024    1.0000   -2431.9477  0.2639 
   00025    1.0000   -2407.2721  0.2569 
   00026    1.0000   -2404.7061  0.2590 
   00027    1.0000   -2529.3317  0.2697 
   00028    1.0000   -2551.2782  0.2813 
   00029    1.0000   -2473.3879  0.2673 
   00030    1.0000   -2571.3676  0.2669 
   00031    1.0000   -2516.9535  0.2658 
   00032    1.0000   -2574.9633  0.2557 
   00033    1.0000   -2499.0307  0.2628 
   00034    1.0000   -2456.5374  0.2574 
   00035    1.0000   -2406.6141  0.2542 
   00036    1.0000   -2484.7107  0.2566 
   00037    1.0000   -2549.5980  0.2636 
   00038    1.0000   -2388.5304  0.2636 
   00039    1.0000   -2421.2129  0.2636 
   00040    1.0000   -2399.9143  0.2612 
   00041    1.0000   -2470.9495  0.2678 
   00042    1.0000   -2388.1078  0.2746 
   00043    1.0000   -2467.8597  0.2652 
   00044    1.0000   -2495.4526  0.2659 
   00045    1.0000   -2533.5792  0.2647 
   00046    1.0000   -2491.1046  0.2701 
   00047    1.0000   -2536.4145  0.2773 
   00048    1.0000   -2551.2365  0.2813 
   00049    0.0000   -2543.4480  0.2835 
   00050    1.0000   -2510.6642  0.2876 
   00051    1.0000   -2595.8919  0.2751 
   00052    1.0000   -2638.3957  0.2702 
   00053    1.0000   -2506.3814  0.2536 
   00054    1.0000   -2503.5734  0.2563 
   00055    1.0000   -2500.7044  0.2519 
   00056    1.0000   -2434.6464  0.2583 
   00057    1.0000   -2484.9384  0.2663 
   00058    1.0000   -2454.7441  0.2734 
   00059    1.0000   -2479.9807  0.2659 
   00060    1.0000   -2419.3291  0.2571 
   00061    1.0000   -2541.0914  0.2674 
   00062    1.0000   -2572.8043  0.2676 
   00063    1.0000   -2556.8286  0.2664 
   00064    1.0000   -2605.9482  0.2735 
   00065    1.0000   -2583.6671  0.2715 
   00066    0.0000   -2477.2211  0.2669 
   00067    1.0000   -2533.0280  0.2561 
   00068    1.0000   -2527.1395  0.2562 
   00069    1.0000   -2455.3043  0.2683 
   00070    1.0000   -2424.2843  0.2715 
   00071    1.0000   -2453.5823  0.2711 
   00072    1.0000   -2527.5889  0.2654 
   00073    1.0000   -2418.6170  0.2586 
   00074    1.0000   -2401.4407  0.2578 
   00075    1.0000   -2430.4285  0.2562 
   00076    1.0000   -2349.4471  0.2560 
   00077    1.0000   -2452.9578  0.2626 
   00078    1.0000   -2370.6485  0.2612 
   00079    1.0000   -2357.9397  0.2718 
   00080    1.0000   -2433.0963  0.2658 
   00081    1.0000   -2408.9832  0.2645 
   00082    1.0000   -2445.7108  0.2663 
   00083    1.0000   -2534.6746  0.2579 
   00084    1.0000   -2525.5678  0.2528 
   00085    1.0000   -2578.0418  0.2536 
   00086    1.0000   -2551.7555  0.2585 
   00087    1.0000   -2493.3069  0.2642 
   00088    1.0000   -2564.8347  0.2725 
   00089    1.0000   -2530.0965  0.2636 
   00090    1.0000   -2524.8852  0.2643 
   00091    1.0000   -2506.6880  0.2603 
   00092    1.0000   -2459.9177  0.2637 
   00093    1.0000   -2421.9846  0.2771 
   00094    0.0000   -2349.7557  0.2812 
   00095    1.0000   -2442.9623  0.2770 
   00096    1.0000   -2444.4518  0.2763 
   00097    1.0000   -2549.4828  0.2674 
   00098    1.0000   -2501.0581  0.2621 
   00099    0.0000   -2499.3756  0.2689 
   00100    1.0000   -2456.9336  0.2589 
   00101    1.0000   -2462.6062  0.2587 
   00102    1.0000   -2436.1611  0.2556 
   00103    1.0000   -2553.5064  0.2553 
   00104    1.0000   -2510.7689  0.2588 
   00105    1.0000   -2488.7063  0.2647 
   00106    1.0000   -2503.9034  0.2646 
   00107    1.0000   -2452.2095  0.2677 
   00108    1.0000   -2455.4658  0.2606 
   00109    1.0000   -2503.9987  0.2602 
   00110    1.0000   -2518.9519  0.2571 
   00111    1.0000   -2589.7602  0.2538 
   00112    1.0000   -2485.4696  0.2641 
   00113    0.0000   -2502.6482  0.2720 
   00114    1.0000   -2497.8649  0.2700 
   00115    1.0000   -2448.1483  0.2732 
   00116    1.0000   -2521.8573  0.2777 
   00117    1.0000   -2570.3151  0.2696 
   00118    1.0000   -2562.1171  0.2684 
   00119    1.0000   -2510.1688  0.2632 
   00120    1.0000   -2526.7606  0.2586 
   00121    1.0000   -2472.3521  0.2667 
   00122    1.0000   -2460.8123  0.2576 
   00123    1.0000   -2559.2586  0.2653 
   00124    1.0000   -2547.7907  0.2647 
   00125    1.0000   -2499.6588  0.2624 
   00126    1.0000   -2503.2337  0.2661 
   00127    1.0000   -2450.7242  0.2665 
   00128    1.0000   -2474.9855  0.2645 
   00129    1.0000   -2537.4731  0.2651 
   00130    1.0000   -2584.5631  0.2610 
   00131    1.0000   -2503.4004  0.2701 
   00132    1.0000   -2467.2694  0.2644 
   00133    1.0000   -2320.8925  0.2646 
   00134    1.0000   -2327.2126  0.2657 
   00135    1.0000   -2404.6985  0.2608 
   00136    0.0000   -2364.5107  0.2515 
   00137    1.0000   -2413.1613  0.2595 
   00138    1.0000   -2479.2255  0.2662 
   00139    1.0000   -2462.3930  0.2680 
   00140    1.0000   -2402.6296  0.2630 
   00141    1.0000   -2343.1495  0.2644 
   00142    1.0000   -2381.2116  0.2737 
   00143    1.0000   -2446.0836  0.2650 
   00144    1.0000   -2442.6333  0.2610 
   00145    1.0000   -2468.1692  0.2602 
   00146    1.0000   -2441.7201  0.2675 
   00147    1.0000   -2517.7787  0.2665 
   00148    1.0000   -2545.6788  0.2702 
   00149    1.0000   -2608.0908  0.2696 
   00150    1.0000   -2602.3168  0.2607 
   00151    1.0000   -2636.2365  0.2601 
   00152    1.0000   -2679.0351  0.2604 
   00153    1.0000   -2722.6996  0.2631 
   00154    1.0000   -2561.7157  0.2590 
   00155    1.0000   -2447.7902  0.2613 
   00156    1.0000   -2437.8589  0.2628 
   00157    1.0000   -2412.9812  0.2665 
   00158    1.0000   -2394.8561  0.2665 
   00159    1.0000   -2306.9139  0.2809 
   00160    1.0000   -2431.7909  0.2709 
   00161    1.0000   -2432.1919  0.2716 
   00162    1.0000   -2461.7608  0.2740 
   00163    1.0000   -2459.5121  0.2660 
   00164    0.0000   -2374.9034  0.2711 
   00165    1.0000   -2477.7113  0.2610 
   00166    0.0000   -2437.1610  0.2585 
   00167    1.0000   -2460.1302  0.2686 
   00168    1.0000   -2431.6449  0.2800 
   00169    0.0000   -2525.2857  0.2742 
   00170    1.0000   -2486.4831  0.2704 
   00171    1.0000   -2499.2980  0.2724 
   00172    1.0000   -2595.5419  0.2637 
   00173    1.0000   -2514.5058  0.2588 
   00174    1.0000   -2501.6821  0.2566 
   00175    0.0000   -2528.6036  0.2576 
   00176    1.0000   -2576.2241  0.2639 
   00177    1.0000   -2535.5337  0.2633 
   00178    1.0000   -2365.9004  0.2640 
   00179    1.0000   -2372.8461  0.2583 
