#=====================================================
# File created:        Thu-31-Oct-2024-at-02-25-28AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.833660
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2445.8178  0.2571 
   00001    1.0000   -2434.0999  0.2629 
   00002    1.0000   -2421.2283  0.2531 
   00003    1.0000   -2517.6518  0.2666 
   00004    1.0000   -2584.6395  0.2662 
   00005    1.0000   -2545.1797  0.2617 
   00006    1.0000   -2627.8052  0.2543 
   00007    1.0000   -2555.1480  0.2611 
   00008    1.0000   -2492.1769  0.2600 
   00009    1.0000   -2606.5184  0.2655 
   00010    1.0000   -2554.9471  0.2549 
   00011    1.0000   -2531.9237  0.2629 
   00012    1.0000   -2490.9801  0.2641 
   00013    1.0000   -2423.4782  0.2681 
   00014    1.0000   -2379.1704  0.2618 
   00015    1.0000   -2456.8447  0.2595 
   00016    1.0000   -2462.4177  0.2547 
   00017    1.0000   -2479.8808  0.2545 
   00018    1.0000   -2399.3497  0.2699 
   00019    1.0000   -2367.0277  0.2685 
   00020    1.0000   -2483.9440  0.2706 
   00021    1.0000   -2457.0586  0.2747 
   00022    1.0000   -2424.9879  0.2659 
   00023    1.0000   -2461.5862  0.2629 
   00024    1.0000   -2370.0713  0.2573 
   00025    1.0000   -2407.0025  0.2587 
   00026    1.0000   -2508.6561  0.2619 
   00027    1.0000   -2586.5468  0.2545 
   00028    1.0000   -2467.0618  0.2548 
   00029    1.0000   -2544.4366  0.2633 
   00030    1.0000   -2440.5721  0.2548 
   00031    1.0000   -2470.7860  0.2564 
   00032    1.0000   -2481.5658  0.2652 
   00033    1.0000   -2477.6548  0.2592 
   00034    1.0000   -2499.5850  0.2611 
   00035    1.0000   -2422.3067  0.2623 
   00036    1.0000   -2423.5465  0.2758 
   00037    1.0000   -2582.6756  0.2729 
   00038    1.0000   -2519.8333  0.2798 
   00039    1.0000   -2602.0702  0.2741 
   00040    1.0000   -2588.4753  0.2691 
   00041    1.0000   -2540.2014  0.2684 
   00042    1.0000   -2488.1161  0.2584 
   00043    1.0000   -2463.4627  0.2547 
   00044    1.0000   -2473.8509  0.2685 
   00045    1.0000   -2530.4408  0.2695 
   00046    1.0000   -2597.5548  0.2743 
   00047    1.0000   -2592.0867  0.2745 
   00048    1.0000   -2507.4410  0.2740 
   00049    1.0000   -2653.3175  0.2786 
   00050    1.0000   -2565.9611  0.2695 
   00051    1.0000   -2433.8564  0.2699 
   00052    1.0000   -2566.2212  0.2703 
   00053    1.0000   -2497.1302  0.2658 
   00054    1.0000   -2482.5606  0.2690 
   00055    1.0000   -2525.2629  0.2721 
   00056    1.0000   -2585.4417  0.2629 
   00057    1.0000   -2562.1950  0.2700 
   00058    1.0000   -2568.1517  0.2654 
   00059    1.0000   -2607.5108  0.2730 
