#=====================================================
# File created:        Wed-30-Oct-2024-at-04-00-35PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.373243
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1581.7635  0.2914 
   00001    1.0000   -1607.5919  0.2816 
   00002    1.0000   -1582.7077  0.2783 
   00003    1.0000   -1596.9403  0.2705 
   00004    1.0000   -1645.9162  0.2688 
   00005    1.0000   -1602.2367  0.2533 
   00006    1.0000   -1639.5508  0.2612 
   00007    1.0000   -1620.0746  0.2698 
   00008    1.0000   -1529.6248  0.2653 
   00009    1.0000   -1584.8131  0.2657 
   00010    1.0000   -1622.3570  0.2708 
   00011    1.0000   -1622.3261  0.2774 
   00012    1.0000   -1680.6109  0.2803 
   00013    1.0000   -1592.8648  0.2729 
   00014    1.0000   -1611.6351  0.2718 
   00015    1.0000   -1508.8020  0.2636 
   00016    1.0000   -1551.6217  0.2605 
   00017    1.0000   -1656.4756  0.2610 
   00018    1.0000   -1637.3567  0.2701 
   00019    1.0000   -1660.5704  0.2621 
   00020    1.0000   -1686.3019  0.2713 
   00021    1.0000   -1632.3327  0.2626 
   00022    1.0000   -1540.2429  0.2600 
   00023    1.0000   -1623.3522  0.2604 
   00024    1.0000   -1594.6550  0.2671 
   00025    1.0000   -1564.4453  0.2806 
   00026    1.0000   -1607.4513  0.2924 
   00027    1.0000   -1624.9891  0.2775 
   00028    1.0000   -1618.0560  0.2852 
   00029    1.0000   -1589.7586  0.2724 
   00030    1.0000   -1593.6231  0.2925 
   00031    0.0000   -1620.1044  0.2904 
   00032    1.0000   -1607.8194  0.2773 
   00033    1.0000   -1608.1588  0.2903 
   00034    1.0000   -1622.0593  0.2883 
   00035    1.0000   -1644.3420  0.2795 
   00036    1.0000   -1677.8530  0.2647 
   00037    1.0000   -1602.0666  0.2678 
   00038    1.0000   -1575.0261  0.2623 
   00039    1.0000   -1648.5260  0.2742 
   00040    1.0000   -1562.0903  0.2605 
   00041    1.0000   -1656.9186  0.2694 
   00042    1.0000   -1620.0922  0.2706 
   00043    1.0000   -1673.4264  0.2844 
   00044    1.0000   -1657.9746  0.2810 
   00045    1.0000   -1615.0640  0.2904 
   00046    1.0000   -1576.7848  0.2841 
   00047    1.0000   -1616.0036  0.2697 
   00048    1.0000   -1537.6036  0.2694 
   00049    1.0000   -1557.9435  0.2581 
   00050    1.0000   -1585.6563  0.2713 
   00051    1.0000   -1560.5613  0.2753 
   00052    1.0000   -1542.9385  0.2769 
   00053    1.0000   -1583.0747  0.2691 
   00054    0.0000   -1663.4922  0.2779 
   00055    1.0000   -1623.1331  0.2804 
   00056    0.0000   -1579.0314  0.2844 
   00057    1.0000   -1596.5897  0.2869 
   00058    1.0000   -1721.1501  0.2634 
   00059    1.0000   -1638.0396  0.2801 
   00060    1.0000   -1739.5987  0.2715 
   00061    1.0000   -1650.2964  0.2806 
   00062    0.0000   -1605.8244  0.2732 
   00063    1.0000   -1606.4136  0.2691 
   00064    1.0000   -1587.9756  0.2565 
   00065    1.0000   -1595.1531  0.2555 
   00066    1.0000   -1662.7028  0.2573 
   00067    1.0000   -1619.8079  0.2597 
   00068    1.0000   -1664.7684  0.2587 
   00069    1.0000   -1624.5579  0.2722 
   00070    1.0000   -1694.1948  0.2681 
   00071    1.0000   -1682.2109  0.2789 
   00072    1.0000   -1674.2658  0.2843 
   00073    1.0000   -1651.6085  0.2746 
   00074    1.0000   -1588.9137  0.2748 
   00075    1.0000   -1594.2173  0.2859 
   00076    0.0000   -1562.1424  0.2717 
   00077    1.0000   -1564.8633  0.2576 
   00078    1.0000   -1590.5045  0.2629 
   00079    1.0000   -1625.2339  0.2604 
   00080    1.0000   -1630.7348  0.2705 
   00081    0.0000   -1668.8753  0.2712 
   00082    1.0000   -1614.7752  0.2645 
   00083    1.0000   -1575.0396  0.2708 
   00084    1.0000   -1565.0475  0.2729 
   00085    1.0000   -1640.5084  0.2648 
   00086    1.0000   -1565.0683  0.2566 
   00087    1.0000   -1642.8142  0.2759 
   00088    1.0000   -1686.7085  0.2787 
   00089    1.0000   -1749.1685  0.2792 
   00090    1.0000   -1732.2866  0.2793 
   00091    1.0000   -1706.9115  0.2850 
   00092    1.0000   -1636.4804  0.2683 
   00093    1.0000   -1656.7603  0.2697 
   00094    1.0000   -1613.3872  0.2604 
   00095    1.0000   -1632.0777  0.2599 
   00096    1.0000   -1613.9050  0.2621 
   00097    1.0000   -1538.8517  0.2718 
   00098    1.0000   -1523.8078  0.2796 
   00099    1.0000   -1527.9277  0.2843 
   00100    1.0000   -1559.5594  0.2816 
   00101    1.0000   -1624.3848  0.2798 
   00102    1.0000   -1654.7511  0.2579 
   00103    1.0000   -1580.4490  0.2583 
   00104    1.0000   -1586.5722  0.2614 
   00105    1.0000   -1621.3749  0.2536 
   00106    1.0000   -1628.4744  0.2592 
   00107    1.0000   -1584.2256  0.2622 
   00108    1.0000   -1643.2609  0.2629 
   00109    1.0000   -1661.8281  0.2679 
   00110    1.0000   -1603.9681  0.2783 
   00111    1.0000   -1578.5157  0.2798 
   00112    1.0000   -1559.7126  0.2801 
   00113    1.0000   -1509.3845  0.2793 
   00114    1.0000   -1554.8246  0.2656 
   00115    1.0000   -1610.0018  0.2649 
   00116    1.0000   -1610.9605  0.2727 
   00117    1.0000   -1496.6733  0.2623 
   00118    1.0000   -1537.2973  0.2513 
   00119    1.0000   -1560.8039  0.2528 
   00120    1.0000   -1559.5023  0.2588 
   00121    1.0000   -1617.0871  0.2567 
   00122    1.0000   -1614.3352  0.2532 
   00123    1.0000   -1680.8808  0.2641 
   00124    1.0000   -1719.5747  0.2601 
   00125    1.0000   -1735.4456  0.2733 
   00126    1.0000   -1637.7242  0.2713 
   00127    1.0000   -1602.6727  0.2634 
   00128    1.0000   -1589.2148  0.2682 
   00129    1.0000   -1654.2750  0.2621 
   00130    1.0000   -1658.5566  0.2596 
   00131    1.0000   -1577.1896  0.2769 
   00132    1.0000   -1615.4300  0.2675 
   00133    1.0000   -1569.1216  0.2753 
   00134    1.0000   -1546.0209  0.2594 
   00135    1.0000   -1673.2719  0.2645 
   00136    1.0000   -1615.0695  0.2720 
   00137    1.0000   -1638.0066  0.2682 
   00138    1.0000   -1644.4285  0.2659 
   00139    1.0000   -1582.9044  0.2643 
   00140    1.0000   -1629.3940  0.2721 
   00141    1.0000   -1598.8870  0.2625 
   00142    1.0000   -1607.1165  0.2822 
   00143    1.0000   -1586.1891  0.2707 
   00144    1.0000   -1580.8965  0.2787 
   00145    1.0000   -1527.7713  0.2660 
   00146    1.0000   -1600.0129  0.2728 
   00147    1.0000   -1593.1215  0.2780 
   00148    1.0000   -1610.4278  0.2655 
   00149    1.0000   -1529.7052  0.2663 
   00150    1.0000   -1589.6907  0.2660 
   00151    1.0000   -1673.3924  0.2683 
   00152    1.0000   -1668.9824  0.2680 
   00153    1.0000   -1657.4132  0.2663 
   00154    1.0000   -1596.0397  0.2722 
   00155    1.0000   -1604.6561  0.2767 
   00156    1.0000   -1576.0626  0.2823 
   00157    1.0000   -1544.3342  0.2818 
   00158    1.0000   -1498.3137  0.2719 
   00159    1.0000   -1502.5429  0.2754 
   00160    1.0000   -1492.4890  0.2823 
   00161    1.0000   -1476.4249  0.2704 
   00162    1.0000   -1549.3727  0.2621 
   00163    1.0000   -1547.9424  0.2654 
   00164    1.0000   -1518.4379  0.2661 
   00165    1.0000   -1531.5433  0.2767 
   00166    1.0000   -1617.6937  0.2796 
   00167    1.0000   -1596.0700  0.2718 
   00168    1.0000   -1573.7331  0.2712 
   00169    1.0000   -1531.5421  0.2702 
   00170    1.0000   -1519.3618  0.2703 
   00171    1.0000   -1595.0561  0.2519 
   00172    1.0000   -1622.4636  0.2651 
   00173    1.0000   -1578.4130  0.2614 
   00174    1.0000   -1546.7797  0.2637 
   00175    1.0000   -1535.3649  0.2750 
   00176    1.0000   -1619.0274  0.2555 
   00177    1.0000   -1638.3254  0.2531 
   00178    1.0000   -1728.5444  0.2674 
   00179    1.0000   -1560.7935  0.2657 
   00180    1.0000   -1556.5174  0.2702 
   00181    1.0000   -1625.4671  0.2794 
   00182    1.0000   -1665.9921  0.2823 
   00183    1.0000   -1663.9714  0.2786 
   00184    1.0000   -1593.4123  0.2915 
   00185    1.0000   -1594.4541  0.2960 
   00186    1.0000   -1685.4408  0.2884 
   00187    1.0000   -1582.3571  0.2928 
   00188    1.0000   -1547.0678  0.2847 
   00189    1.0000   -1615.9963  0.2779 
   00190    1.0000   -1623.2845  0.2732 
   00191    1.0000   -1617.3766  0.2777 
   00192    1.0000   -1588.0110  0.2654 
   00193    1.0000   -1620.6115  0.2614 
   00194    1.0000   -1674.5966  0.2620 
   00195    1.0000   -1601.1176  0.2536 
   00196    1.0000   -1514.1041  0.2610 
   00197    1.0000   -1559.1301  0.2577 
   00198    1.0000   -1606.4392  0.2653 
   00199    0.0000   -1668.1725  0.2731 
   00200    1.0000   -1727.0474  0.2847 
   00201    1.0000   -1657.0180  0.2843 
   00202    1.0000   -1724.8191  0.2733 
   00203    1.0000   -1618.8019  0.2631 
   00204    1.0000   -1649.2521  0.2604 
   00205    0.0000   -1696.9978  0.2600 
   00206    1.0000   -1673.0045  0.2631 
   00207    1.0000   -1601.4373  0.2651 
   00208    1.0000   -1584.6168  0.2884 
   00209    1.0000   -1627.0031  0.2760 
   00210    1.0000   -1493.4014  0.2675 
   00211    1.0000   -1482.8628  0.2658 
   00212    1.0000   -1537.8006  0.2585 
   00213    1.0000   -1557.3633  0.2626 
   00214    1.0000   -1560.3158  0.2602 
   00215    1.0000   -1488.0977  0.2602 
   00216    1.0000   -1532.8909  0.2701 
   00217    1.0000   -1519.3336  0.2697 
   00218    1.0000   -1598.3672  0.2584 
   00219    1.0000   -1543.8114  0.2575 
   00220    1.0000   -1563.8025  0.2585 
   00221    1.0000   -1564.0150  0.2546 
   00222    1.0000   -1558.7642  0.2662 
   00223    1.0000   -1541.5671  0.2692 
   00224    1.0000   -1643.7607  0.2609 
   00225    1.0000   -1625.1621  0.2758 
   00226    1.0000   -1688.1464  0.2760 
   00227    1.0000   -1676.7649  0.2822 
   00228    1.0000   -1609.6577  0.2707 
   00229    1.0000   -1604.4224  0.2698 
   00230    1.0000   -1605.3171  0.2524 
   00231    1.0000   -1549.5340  0.2685 
   00232    1.0000   -1588.1869  0.2625 
   00233    1.0000   -1533.1906  0.2619 
   00234    1.0000   -1603.8608  0.2596 
   00235    1.0000   -1633.6449  0.2783 
   00236    1.0000   -1545.3941  0.2804 
   00237    1.0000   -1591.2117  0.2784 
   00238    1.0000   -1632.7644  0.2742 
   00239    1.0000   -1586.3320  0.2755 
   00240    1.0000   -1604.8377  0.2727 
   00241    1.0000   -1602.7086  0.2615 
   00242    1.0000   -1642.2175  0.2634 
   00243    1.0000   -1625.1481  0.2797 
   00244    1.0000   -1569.1859  0.2867 
   00245    1.0000   -1493.8952  0.2641 
   00246    1.0000   -1584.6664  0.2688 
   00247    1.0000   -1611.5042  0.2755 
   00248    1.0000   -1577.2702  0.2661 
   00249    1.0000   -1552.9367  0.2595 
   00250    1.0000   -1549.5259  0.2534 
   00251    1.0000   -1548.0489  0.2667 
   00252    1.0000   -1533.6248  0.2641 
   00253    0.0000   -1568.1532  0.2670 
   00254    1.0000   -1650.8152  0.2693 
   00255    0.0000   -1582.4352  0.2687 
   00256    1.0000   -1642.9137  0.2575 
