#=====================================================
# File created:        Wed-30-Oct-2024-at-04-00-46PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.370570
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1514.7794  0.2560 
   00001    1.0000   -1559.1035  0.2624 
   00002    1.0000   -1628.5589  0.2575 
   00003    1.0000   -1602.1310  0.2571 
   00004    1.0000   -1579.0070  0.2595 
   00005    1.0000   -1564.8021  0.2557 
   00006    1.0000   -1723.7233  0.2548 
   00007    1.0000   -1666.6695  0.2629 
   00008    1.0000   -1611.6766  0.2585 
   00009    1.0000   -1693.6026  0.2633 
   00010    1.0000   -1680.1406  0.2823 
   00011    1.0000   -1636.6674  0.2798 
   00012    1.0000   -1622.8846  0.2774 
   00013    1.0000   -1573.3107  0.2744 
   00014    1.0000   -1559.8781  0.2710 
   00015    1.0000   -1523.5596  0.2681 
   00016    1.0000   -1575.8005  0.2683 
   00017    1.0000   -1542.4094  0.2562 
   00018    1.0000   -1569.0614  0.2616 
   00019    1.0000   -1545.7939  0.2577 
   00020    1.0000   -1551.6015  0.2665 
   00021    1.0000   -1612.1363  0.2728 
   00022    1.0000   -1634.4080  0.2737 
   00023    1.0000   -1696.4785  0.2773 
   00024    1.0000   -1609.9901  0.2909 
   00025    1.0000   -1578.4055  0.2715 
   00026    1.0000   -1556.8794  0.2642 
   00027    1.0000   -1587.4394  0.2708 
   00028    1.0000   -1605.5394  0.2739 
   00029    1.0000   -1664.6549  0.2591 
   00030    1.0000   -1601.3709  0.2562 
   00031    1.0000   -1674.9724  0.2717 
   00032    1.0000   -1688.4193  0.2665 
   00033    1.0000   -1762.1290  0.2675 
   00034    0.0000   -1678.8414  0.2644 
   00035    1.0000   -1588.6104  0.2570 
   00036    1.0000   -1583.5109  0.2546 
   00037    1.0000   -1575.9763  0.2745 
   00038    1.0000   -1598.8076  0.2609 
   00039    1.0000   -1625.6252  0.2558 
   00040    1.0000   -1599.2866  0.2704 
   00041    1.0000   -1545.9460  0.2836 
   00042    1.0000   -1622.9591  0.2693 
   00043    1.0000   -1625.0840  0.2587 
   00044    1.0000   -1669.6849  0.2531 
   00045    1.0000   -1638.0217  0.2621 
   00046    1.0000   -1655.2489  0.2695 
   00047    1.0000   -1621.7359  0.2747 
   00048    1.0000   -1628.2031  0.2701 
   00049    1.0000   -1539.5368  0.2773 
   00050    1.0000   -1596.0892  0.2781 
   00051    1.0000   -1554.6451  0.2805 
   00052    1.0000   -1630.7538  0.2754 
   00053    1.0000   -1549.1214  0.2690 
   00054    1.0000   -1564.6503  0.2625 
   00055    1.0000   -1468.1918  0.2581 
   00056    1.0000   -1613.2562  0.2624 
   00057    1.0000   -1653.9335  0.2567 
   00058    0.0000   -1638.7890  0.2676 
   00059    1.0000   -1639.3584  0.2615 
   00060    0.0000   -1632.6684  0.2548 
   00061    1.0000   -1613.6624  0.2686 
   00062    1.0000   -1604.3651  0.2568 
   00063    1.0000   -1563.1951  0.2763 
   00064    1.0000   -1449.9404  0.2573 
   00065    0.0000   -1520.3878  0.2594 
   00066    1.0000   -1535.4639  0.2567 
   00067    1.0000   -1611.8635  0.2563 
   00068    1.0000   -1572.0934  0.2627 
   00069    1.0000   -1563.8938  0.2650 
   00070    1.0000   -1556.0875  0.2666 
   00071    1.0000   -1542.6451  0.2544 
   00072    1.0000   -1496.5961  0.2542 
   00073    1.0000   -1539.7068  0.2709 
   00074    1.0000   -1532.6919  0.2734 
   00075    1.0000   -1584.9227  0.2800 
   00076    1.0000   -1586.4575  0.2765 
   00077    0.0000   -1640.9358  0.2693 
   00078    1.0000   -1628.0361  0.2541 
   00079    0.0000   -1594.0324  0.2768 
   00080    1.0000   -1603.5435  0.2608 
   00081    1.0000   -1498.2675  0.2668 
   00082    1.0000   -1581.8251  0.2555 
   00083    1.0000   -1445.5476  0.2689 
   00084    1.0000   -1485.9506  0.2589 
   00085    1.0000   -1570.5104  0.2581 
   00086    1.0000   -1590.9668  0.2605 
   00087    1.0000   -1560.3892  0.2667 
   00088    1.0000   -1580.8481  0.2670 
   00089    1.0000   -1579.3280  0.2540 
   00090    1.0000   -1548.8592  0.2530 
   00091    1.0000   -1512.8632  0.2592 
   00092    1.0000   -1641.8158  0.2604 
   00093    1.0000   -1587.0608  0.2584 
   00094    1.0000   -1505.5774  0.2651 
   00095    1.0000   -1516.3315  0.2656 
   00096    1.0000   -1632.3442  0.2640 
   00097    1.0000   -1540.5583  0.2569 
   00098    1.0000   -1502.3042  0.2531 
   00099    1.0000   -1493.5722  0.2688 
   00100    1.0000   -1522.8750  0.2530 
   00101    1.0000   -1527.3719  0.2648 
   00102    1.0000   -1527.7208  0.2636 
   00103    1.0000   -1511.9759  0.2622 
   00104    0.0000   -1464.9957  0.2666 
   00105    1.0000   -1528.0473  0.2737 
   00106    1.0000   -1478.8738  0.2716 
   00107    1.0000   -1517.0114  0.2745 
   00108    1.0000   -1524.0363  0.2638 
   00109    1.0000   -1495.3216  0.2577 
   00110    1.0000   -1560.2073  0.2563 
   00111    1.0000   -1501.9407  0.2564 
   00112    1.0000   -1560.2487  0.2728 
   00113    1.0000   -1595.2611  0.2697 
   00114    1.0000   -1623.9690  0.2654 
   00115    1.0000   -1575.2970  0.2552 
